cell,predictions,config,mse,nse
51,"2022-01-01    2205.450228
2022-02-01    2295.553928
2022-03-01    2179.233814
2022-04-01    2169.474617
2022-05-01    2118.413942
2022-06-01    2319.614616
2022-07-01    3518.623944
2022-08-01    4825.160475
2022-09-01    4597.168608
2022-10-01    3820.650889
2022-11-01    3073.406125
2022-12-01    2700.807147
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 2, 12), 'n']",33077.28264,0.969237755
52,"2022-01-01    2109.177822
2022-02-01    1977.721940
2022-03-01    2004.412342
2022-04-01    2141.201371
2022-05-01    2126.848427
2022-06-01    2308.692599
2022-07-01    3337.874062
2022-08-01    4786.354374
2022-09-01    4490.651154
2022-10-01    3759.831226
2022-11-01    3181.302742
2022-12-01    2485.049286
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 2, 12), 'c']",65348.21388,0.949987601
53,"2022-01-01    2355.458240
2022-02-01    2121.636514
2022-03-01    2089.559001
2022-04-01    2203.654596
2022-05-01    2179.017697
2022-06-01    2354.161997
2022-07-01    3317.440858
2022-08-01    4680.595585
2022-09-01    4585.863572
2022-10-01    3827.131767
2022-11-01    3367.981189
2022-12-01    2670.117745
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (2, 1, 2, 12), 'ct']",71275.67729,0.944588218
54,"2022-01-01    3587.455607
2022-02-01    2686.989180
2022-03-01    2551.685818
2022-04-01    2436.892592
2022-05-01    2476.262068
2022-06-01    2763.978772
2022-07-01    4281.408662
2022-08-01    5688.230934
2022-09-01    5286.622084
2022-10-01    4442.830887
2022-11-01    4205.792045
2022-12-01    3278.106382
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (1, 0, 2, 12), 't']",52695.12134,0.965630236
55,"2022-01-01    3385.265797
2022-02-01    2752.607879
2022-03-01    2584.963887
2022-04-01    2469.260556
2022-05-01    2488.355782
2022-06-01    2706.769691
2022-07-01    3719.985970
2022-08-01    5023.298198
2022-09-01    5077.358616
2022-10-01    4464.570180
2022-11-01    4173.390425
2022-12-01    3307.025101
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 2, 12), 'n']",28738.05128,0.972574645
56,"2022-01-01    3094.111474
2022-02-01    2447.052358
2022-03-01    2447.697143
2022-04-01    2569.069030
2022-05-01    2699.533998
2022-06-01    2903.770369
2022-07-01    3815.054658
2022-08-01    4964.987091
2022-09-01    4866.212054
2022-10-01    4366.806728
2022-11-01    4151.838519
2022-12-01    3231.008860
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (2, 1, 2, 12), 'ct']",78513.83014,0.931924166
57,"2022-01-01    2055.787547
2022-02-01    1862.192211
2022-03-01    1850.501215
2022-04-01    1959.575016
2022-05-01    2077.848697
2022-06-01    2198.479025
2022-07-01    2902.320499
2022-08-01    4004.172036
2022-09-01    4187.445037
2022-10-01    3614.325974
2022-11-01    3070.268011
2022-12-01    2404.110413
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (1, 1, 2, 12), 't']",79340.63095,0.927498364
58,"2022-01-01    2066.049797
2022-02-01    1835.676938
2022-03-01    1853.674308
2022-04-01    1910.991043
2022-05-01    1892.740314
2022-06-01    2166.216026
2022-07-01    3307.509996
2022-08-01    5383.486528
2022-09-01    4244.469685
2022-10-01    3237.557167
2022-11-01    2562.009536
2022-12-01    2261.184287
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 1), (0, 1, 0, 12), 'ct']",96200.56147,0.931515154
59,"2022-01-01    1814.416498
2022-02-01    1741.367982
2022-03-01    1817.439391
2022-04-01    1919.251712
2022-05-01    1922.188697
2022-06-01    2358.524772
2022-07-01    3242.761477
2022-08-01    5213.827052
2022-09-01    4309.842817
2022-10-01    3127.749915
2022-11-01    2380.353802
2022-12-01    2259.901061
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 2), (2, 0, 1, 12), 't']",34115.96723,0.970006368
60,"2022-01-01    1961.04333
2022-02-01    1872.04333
2022-03-01    1943.04333
2022-04-01    2034.54333
2022-05-01    2015.54333
2022-06-01    2152.54333
2022-07-01    3167.04333
2022-08-01    4860.04333
2022-09-01    3800.04333
2022-10-01    2928.54333
2022-11-01    2556.54333
2022-12-01    2344.54333
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'n']",75115.58915,0.931748815
